time_s,integral,shift,assignment,experiment,ISTD_mg_mL,ISTD
7415,98.6202,3.811153,SM_A,AH-01-15zg2d,22.45,965.864
7475,96.6693,3.811153,SM_A,AH-01-15zg2d,22.45,954.964
7535,97.8632,3.811153,SM_A,AH-01-15zg2d,22.45,968.328
7595,95.351,3.811153,SM_A,AH-01-15zg2d,22.45,960.118
7655,93.6469,3.811153,SM_A,AH-01-15zg2d,22.45,968.092
7715,94.5568,3.811153,SM_A,AH-01-15zg2d,22.45,970.465
7775,93.3858,3.811153,SM_A,AH-01-15zg2d,22.45,972.519
7835,92.7435,3.811153,SM_A,AH-01-15zg2d,22.45,959.093
7895,90.4381,3.811153,SM_A,AH-01-15zg2d,22.45,954.868
7955,90.4569,3.811153,SM_A,AH-01-15zg2d,22.45,969.321
8015,89.4576,3.811153,SM_A,AH-01-15zg2d,22.45,962.809
8075,87.6939,3.811153,SM_A,AH-01-15zg2d,22.45,957.381
8135,86.2901,3.811153,SM_A,AH-01-15zg2d,22.45,964.116
8195,86.6291,3.811153,SM_A,AH-01-15zg2d,22.45,957.605
155,430.487,2.626463,SM_B,AH-01-15zg2d,22.45,966.258
215,423.578,2.626463,SM_B,AH-01-15zg2d,22.45,956.241
275,419.952,2.626463,SM_B,AH-01-15zg2d,22.45,963.426
335,412.572,2.626463,SM_B,AH-01-15zg2d,22.45,962.698
395,409.135,2.626463,SM_B,AH-01-15zg2d,22.45,965.575
455,403.615,2.626463,SM_B,AH-01-15zg2d,22.45,962.179
515,397.251,2.626463,SM_B,AH-01-15zg2d,22.45,961.425
575,393.567,2.626463,SM_B,AH-01-15zg2d,22.45,962.205
635,390.836,2.626463,SM_B,AH-01-15zg2d,22.45,956.914
695,383.495,2.626463,SM_B,AH-01-15zg2d,22.45,966.093
755,378.343,2.626463,SM_B,AH-01-15zg2d,22.45,957.516
815,373.951,2.626463,SM_B,AH-01-15zg2d,22.45,967.065
875,372.242,2.626463,SM_B,AH-01-15zg2d,22.45,959.294
935,364.939,2.626463,SM_B,AH-01-15zg2d,22.45,961.73
995,361.744,2.626463,SM_B,AH-01-15zg2d,22.45,955.412
1055,358.231,2.626463,SM_B,AH-01-15zg2d,22.45,962.87
1115,348.858,2.626463,SM_B,AH-01-15zg2d,22.45,973.75
1175,349.506,2.626463,SM_B,AH-01-15zg2d,22.45,968.421
1235,343.552,2.626463,SM_B,AH-01-15zg2d,22.45,964.273
1295,341.25,2.626463,SM_B,AH-01-15zg2d,22.45,966.724
1355,335.272,2.626463,SM_B,AH-01-15zg2d,22.45,963.236
1415,335.271,2.626463,SM_B,AH-01-15zg2d,22.45,958.148
1475,328.339,2.626463,SM_B,AH-01-15zg2d,22.45,952.653
1535,326.862,2.626463,SM_B,AH-01-15zg2d,22.45,970.742
1595,320.348,2.626463,SM_B,AH-01-15zg2d,22.45,971.335
1655,319.645,2.626463,SM_B,AH-01-15zg2d,22.45,963.983
1715,312.345,2.626463,SM_B,AH-01-15zg2d,22.45,970.776
1775,312.036,2.626463,SM_B,AH-01-15zg2d,22.45,950.794
1835,305.496,2.626463,SM_B,AH-01-15zg2d,22.45,956.919
1895,303.766,2.626463,SM_B,AH-01-15zg2d,22.45,964.163
1955,302.051,2.626463,SM_B,AH-01-15zg2d,22.45,955.522
2015,293.844,2.626463,SM_B,AH-01-15zg2d,22.45,968.535
2075,292.251,2.626463,SM_B,AH-01-15zg2d,22.45,969.483
2135,288.951,2.626463,SM_B,AH-01-15zg2d,22.45,945.301
2195,284.849,2.626463,SM_B,AH-01-15zg2d,22.45,959.421
2255,281.323,2.626463,SM_B,AH-01-15zg2d,22.45,960.027
2315,276.559,2.626463,SM_B,AH-01-15zg2d,22.45,953.233
2375,274.1,2.626463,SM_B,AH-01-15zg2d,22.45,952.806
2435,270.422,2.626463,SM_B,AH-01-15zg2d,22.45,958.162
2495,269.005,2.626463,SM_B,AH-01-15zg2d,22.45,950.893
2555,265.756,2.626463,SM_B,AH-01-15zg2d,22.45,959.679
2615,262.005,2.626463,SM_B,AH-01-15zg2d,22.45,952.089
2675,258.419,2.626463,SM_B,AH-01-15zg2d,22.45,959.672
2735,252.9,2.626463,SM_B,AH-01-15zg2d,22.45,954.633
2795,253.535,2.626463,SM_B,AH-01-15zg2d,22.45,955.188
2855,248.897,2.626463,SM_B,AH-01-15zg2d,22.45,955.186
2915,245.467,2.626463,SM_B,AH-01-15zg2d,22.45,952.764
2975,244.573,2.626463,SM_B,AH-01-15zg2d,22.45,954.871
3035,238.899,2.626463,SM_B,AH-01-15zg2d,22.45,950.369
3095,238.692,2.626463,SM_B,AH-01-15zg2d,22.45,948.618
3155,233.931,2.626463,SM_B,AH-01-15zg2d,22.45,943.712
3215,232.132,2.626463,SM_B,AH-01-15zg2d,22.45,962.414
3275,230.507,2.626463,SM_B,AH-01-15zg2d,22.45,946.37
3335,228.993,2.626463,SM_B,AH-01-15zg2d,22.45,947.773
3395,223.1,2.626463,SM_B,AH-01-15zg2d,22.45,952.502
3455,220.486,2.626463,SM_B,AH-01-15zg2d,22.45,957.306
3515,217.882,2.626463,SM_B,AH-01-15zg2d,22.45,962.448
3575,216.01,2.626463,SM_B,AH-01-15zg2d,22.45,951.881
3635,210.979,2.626463,SM_B,AH-01-15zg2d,22.45,960.726
3695,211.021,2.626463,SM_B,AH-01-15zg2d,22.45,951.479
3755,206.539,2.626463,SM_B,AH-01-15zg2d,22.45,948.312
3815,209.26,2.626463,SM_B,AH-01-15zg2d,22.45,952.151
3875,205.155,2.626463,SM_B,AH-01-15zg2d,22.45,957.805
3935,202.318,2.626463,SM_B,AH-01-15zg2d,22.45,946.785
3995,199.285,2.626463,SM_B,AH-01-15zg2d,22.45,960.193
4055,196.434,2.626463,SM_B,AH-01-15zg2d,22.45,955.638
4115,195.153,2.626463,SM_B,AH-01-15zg2d,22.45,951.74
4175,191.569,2.626463,SM_B,AH-01-15zg2d,22.45,966.486
4235,189.309,2.626463,SM_B,AH-01-15zg2d,22.45,970.069
